parent,line_id,class,lat,lon,state,x_c,y_c,w,h,top_left_x,top_left_y,bottom_right_x,bottom_right_y,local_top_left_x,local_top_left_y,local_bottom_right_x,local_bottom_right_y
"25.75,85.22",0,zigzag,25.754264251203914,85.22523560848235,bihar,24720783.702524442,14291570.678798532,0.0337623,0.0658767,24720764.79563644,14291533.787846532,24720802.609412443,14291607.569750533,1029.087192,81.824568,1066.900968,155.60647200000002
"24.83,85.24",0,zigzag,24.824886269975753,85.23904466838835,bihar,24722070.800195556,14387378.55809754,0.0300044,0.0620688,24722053.997731555,14387343.79956954,24722087.602659557,14387413.31662554,454.154176,1050.4139519999999,487.75910400000004,1119.931008
"26.53,85.02",0,zigzag,26.534774679862444,85.01914121932981,bihar,24701574.313173335,14210529.28847714,0.0514237,0.061442,24701545.515901335,14210494.88095714,24701603.110445336,14210563.69599714,451.15856800000006,28.172816000000005,508.753112,96.98785600000001
"25.49,86.21",0,zigzag,25.48558679197396,86.20922701568604,bihar,24812498.349084444,14319343.864921998,0.0593394,0.0359259,24812465.119020443,14319323.746417997,24812531.579148445,14319363.983425999,454.722576,995.5714159999999,521.1827040000001,1035.808424
"26.05,86.26",0,zigzag,26.051487286093828,86.2648685466767,bihar,24817684.515662227,14260773.417801147,0.0400859,0.0664774,24817662.067558225,14260736.190457147,24817706.96376623,14260810.645145148,991.333336,368.471376,1036.229544,442.92606400000005
"26.35,86.11",0,zigzag,26.349092992648178,86.1083962690353,bihar,24803100.242328886,14229858.1556175,0.0463742,0.0748256,24803074.272776887,14229816.2532815,24803126.211880885,14229900.0579535,384.55188799999996,612.438624,436.490992,696.243296
"27.05,84.26",0,zigzag,27.05243232922188,84.26030827808384,bihar,24630845.956711113,14156476.539375078,0.039523,0.0669964,24630823.823831115,14156439.021391079,24630868.089591112,14156514.057359077,566.60072,267.923936,610.8664799999999,342.959904
"26.27,87.88",0,zigzag,26.267171617772906,87.87445205312726,bihar,24967708.57209422,14238376.033878228,0.0765913,0.0439549,24967665.68096622,14238351.419134228,24967751.46322222,14238400.648622228,0.00274400000000119,829.369576,85.785,878.599064
"25.69,86.84",0,zigzag,25.692852922949882,86.84128467426301,bihar,24871410.392764445,14297924.28045475,0.039443,0.0640071,24871388.304684445,14297888.436478749,24871432.480844446,14297960.12443075,657.65224,229.072984,701.8283999999999,300.76093599999996
"27.10,84.50",0,zigzag,27.099499429915877,84.49572168178557,bihar,24652788.076284442,14151549.592905171,0.0337454,0.0701453,24652769.17886044,14151510.31153717,24652806.973708443,14151588.874273172,142.334416,573.1290319999999,180.12926399999998,651.691768
"24.93,85.81",0,fcbk,24.93214491242031,85.8085929637909,bihar,24775156.548942223,14376358.703586556,0.0516796,0.0448316,24775127.608366225,14376333.597890556,24775185.48951822,14376383.809282556,399.914144,314.43014400000004,457.79529600000006,364.641536
"27.20,84.52",0,zigzag,27.196392240187702,84.523729882431,bihar,24655398.629795555,14141400.403666764,0.0654144,0.0530507,24655361.997731555,14141370.695274765,24655435.261859555,14141430.112058764,871.0181759999999,908.3621679999999,944.282304,967.7789519999999
"26.47,85.09",0,zigzag,26.474601752443522,85.0892659965515,bihar,24708110.41614222,14216796.510743896,0.0507649,0.0612067,24708081.98779822,14216762.234991895,24708138.84448622,14216830.786495896,463.15757599999995,46.570552000000006,520.014264,115.122056
"26.55,84.30",0,fcbk,26.55394001986667,84.30563549880982,bihar,24635070.75989333,14208532.46103809,0.0244461,0.0723799,24635057.07007733,14208491.92829409,24635084.449709333,14208572.99378209,1071.576744,108.93125600000002,1098.9563759999999,189.996744
"26.32,84.24",0,zigzag,26.318093202568623,84.23852608108518,bihar,24628815.7088,14233082.106160587,0.0590254,0.0473466,24628782.654576,14233055.592064587,24628848.763024,14233108.620256586,389.566576,731.766224,455.675024,784.794416
"25.65,84.95",0,zigzag,25.65400725479075,84.9456490793228,bihar,24694724.349244446,14301941.55225391,0.0677438,0.0291865,24694686.412716445,14301925.20781391,24694762.285772447,14301957.89669391,116.528272,129.31492,192.40132800000003,162.0038
"25.07,85.02",0,fcbk,25.07253867070601,85.02296648712162,bihar,24701930.853973337,14361920.009570166,0.0188847,0.059556,24701920.278541338,14361886.658210166,24701941.429405335,14361953.360930167,825.921208,265.41424,847.072072,332.11696000000006
"27.13,84.64",0,zigzag,27.131136145322248,84.63987730159764,bihar,24666224.353902224,14148236.722977236,0.040506,0.0711975,24666201.670542225,14148196.852377236,24666247.037262224,14148276.593577236,525.88032,401.1406,571.24704,480.8818
"26.61,86.06",0,zigzag,26.605165061824962,86.06040568218235,bihar,24798627.195431113,14203193.709390657,0.0331338,0.0606114,24798608.640503112,14203159.767006656,24798645.750359114,14203227.651774658,579.257392,1030.085616,616.3672480000001,1097.970384
"26.61,86.06",1,zigzag,26.605876985123736,86.05472935440065,bihar,24798098.123335112,14203119.494830657,0.031869,0.0650491,24798080.276695114,14203083.067334658,24798115.96997511,14203155.922326656,50.893584000000004,953.3859440000001,86.58686399999999,1026.2409360000001
"26.59,85.17",0,zigzag,26.59097611519658,85.17127343902588,bihar,24715754.063786667,14204672.742123844,0.0383574,0.073575,24715732.583642665,14204631.540123845,24715775.54393067,14204713.944123844,657.2129759999999,417.05607999999995,700.1732639999999,499.46008
"26.34,86.57",0,zigzag,26.34132073377014,86.56893077793121,bihar,24846025.169724446,14230666.54472132,0.0289497,0.0597307,24846008.957892444,14230633.09552932,24846041.381556448,14230699.99391332,444.129448,389.187288,476.553112,456.08567200000005
"26.34,86.57",1,zigzag,26.344755479869356,86.57455488529209,bihar,24846549.374524448,14230309.30504132,0.0429332,0.078137,24846525.331932448,14230265.54832132,24846573.41711645,14230353.061761321,960.5034880000001,21.640079999999998,1008.5886720000001,109.15352
"26.34,86.57",2,zigzag,26.33517559584628,86.57154394989014,bihar,24846268.735004447,14231305.65928132,0.0464258,0.0741989,24846242.736556448,14231264.10789732,24846294.733452447,14231347.210665321,677.9081120000001,1020.1996559999999,729.9050080000001,1103.302424
"26.34,86.57",3,zigzag,26.336966043664287,86.57209563007356,bihar,24846320.155324448,14231119.45032132,0.0459981,0.0843693,24846294.39638845,14231072.20351332,24846345.914260447,14231166.69712932,729.5679439999999,828.295272,781.085816,922.788888
"26.78,85.57",0,zigzag,26.777511833475874,85.56665165901188,bihar,24752605.984888893,14185213.872951025,0.0442744,0.0799477,24752581.19122489,14185169.102239026,24752630.778552894,14185258.643663025,223.118336,775.003208,272.705664,864.5446319999999
"25.25,83.57",0,zigzag,25.247769596428977,83.57457486839296,bihar,24566930.97041778,14343875.261676209,0.0609792,0.030827,24566896.822065778,14343857.99855621,24566965.11876978,14343892.524796208,952.260288,772.5844000000001,1020.556992,807.11064
"26.76,85.08",0,zigzag,26.764490045707376,85.08053390808108,bihar,24707296.52650667,14186573.303605879,0.0764446,0.0467595,24707253.71753067,14186547.11828588,24707339.335482668,14186599.488925878,566.9548639999999,65.10520799999999,652.5728160000001,117.475848
"25.93,85.03",0,zigzag,25.934799259539197,85.02678728694919,bihar,24702286.97832889,14272873.498438679,0.0256403,0.0606843,24702272.61976089,14272839.515230678,24702301.336896893,14272907.48164668,246.194872,28.609784000000005,274.912008,96.57619999999999
"25.93,85.03",1,zigzag,25.932640131644455,85.02710716075896,bihar,24702316.79272889,14273097.278246678,0.0383324,0.0641597,24702295.32658489,14273061.34881468,24702338.25887289,14273133.207678678,268.901696,250.44336799999996,311.83398400000004,322.302232
"26.76,85.69",0,zigzag,26.762389777870062,85.69492757072452,bihar,24764562.16643556,14186792.54987788,0.0407824,0.0759048,24764539.328291558,14186750.04318988,24764585.00457956,14186835.05656588,996.444736,268.030112,1042.121024,353.04348799999997
"26.02,86.86",0,zigzag,26.021891118989135,86.8548602046585,bihar,24872675.723907556,14263843.559569439,0.0352409,0.0620846,24872655.989003558,14263808.792193439,24872695.458811555,14263878.326945439,61.201448,329.08478399999996,100.671256,398.61953600000004
"26.71,85.09",0,fcbk,26.707243360108997,85.0897761844635,bihar,24708157.969102222,14192547.817378264,0.0458897,0.0628034,24708132.270870224,14192512.647474265,24708183.66733422,14192582.987282263,513.440648,812.456176,564.8371119999999,882.795984
"25.70,85.46",0,zigzag,25.703224840425317,85.45843603096007,bihar,24742519.557297777,14296851.434480594,0.0660359,0.0314591,24742482.577193778,14296833.817384595,24742556.537401777,14296869.051576594,377.247416,208.803224,451.207624,244.037416
"25.26,86.05",0,zigzag,25.264269982986853,86.0451242868042,bihar,24797202.866147555,14342174.764164053,0.0336045,0.0676991,24797184.047627557,14342136.852668053,24797221.684667554,14342212.675660053,86.73207199999999,82.01026399999999,124.369112,157.833256
"26.16,84.37",0,zigzag,26.15984419366585,84.3642251650238,bihar,24640531.71259022,14249526.449855048,0.0388247,0.0362946,24640509.970758222,14249506.12487905,24640553.45442222,14249546.774831047,0.004536000000002205,555.854544,43.48819999999999,596.5044959999999
"24.93,85.79",0,fcbk,24.92827069895496,85.79210417366025,bihar,24773619.68231111,14376756.910626557,0.0243965,0.0583681,24773606.02027111,14376724.224490557,24773633.34435111,14376789.596762557,742.4611600000001,705.056744,769.7852399999999,770.429016
"26.24,87.84",0,zigzag,26.244177106750534,87.83577407283788,bihar,24964103.523040004,14240765.836110206,0.0886836,0.0331976,24964053.860224005,14240747.245454207,24964153.185856003,14240784.426766206,116.452224,107.33654399999999,215.777856,144.517856
"26.24,87.84",1,zigzag,26.240389031840234,87.8419937679291,bihar,24964683.240640003,14241159.482510205,0.0758998,0.0421697,24964640.736752003,14241135.867478205,24964725.744528003,14241183.097542206,703.328752,495.958568,788.336528,543.188632
"26.24,87.84",2,zigzag,26.241564041283983,87.83999161262514,bihar,24964496.626240004,14241037.380110206,0.0834327,0.0360676,24964449.903928004,14241017.182254206,24964543.348552004,14241057.577966206,512.495928,377.273344,605.940552,417.669056
"25.08,85.12",0,fcbk,25.08112021929659,85.12001182403563,bihar,24710976.134968888,14361036.910598699,0.0267537,0.0675106,24710961.15289689,14360999.1046627,24710991.117040887,14361074.716534698,546.120008,406.912464,576.084152,482.52433599999995
"24.54,84.64",0,zigzag,24.535840019633234,84.64310933685303,bihar,24666525.601422224,14417028.108682819,0.081651,0.051617,24666479.876862224,14416999.20316282,24666571.325982224,14417057.014202818,804.08664,957.3272800000001,895.53576,1015.13832
