,parent,line_id,class,lat,lon,state,x_c,y_c,w,h,top_left_x,top_left_y,bottom_right_x,bottom_right_y,local_top_left_x,local_top_left_y,local_bottom_right_x,local_bottom_right_y,closest_kiln_long,closest_kiln_lat,dist
0,"28.93,76.87",0,zigzag,28.926076865229174,76.86740789260864,haryana,23941777.697635558,13958694.590025868,0.115501,0.0754571,23941713.017075557,13958652.334049867,23941842.378195558,13958736.846001867,253.71752,935.535384,383.07864,1020.047336,28.92693364515073,76.86397538738252,0.3479064341392662
1,"28.93,76.87",1,zigzag,28.92585394247982,76.87494172592163,haryana,23942479.901795555,13958718.329545869,0.106513,0.076282,23942420.254515555,13958675.611625869,23942539.549075555,13958761.047465868,960.95496,958.81296,1080.24952,1044.2488,28.92580779290945,76.87494239131927,0.005115377976584942
2,"29.33,75.60",0,zigzag,29.33266398147643,75.59840152015686,haryana,23823497.73088,13915310.725827226,0.0927,0.0295288,23823445.81888,13915294.189699229,23823549.64288,13915327.261955226,359.09888,258.650112,462.92288,291.722368,29.353185149152548,75.5879985416413,2.4888700854816843
3,"29.57,75.92",0,zigzag,29.57188664617461,75.92554135112765,haryana,23853989.37313778,13889704.29857485,0.0503867,0.0865843,23853961.15658578,13889655.81136685,23854017.58968978,13889752.78578285,1048.274808,309.329272,1104.707912,406.303688,29.56402563518845,75.92439663276672,0.8783873663826341
4,"28.20,76.56",0,zigzag,28.195462807307397,76.55759668064117,haryana,23912901.199733336,14036228.558418624,0.0762707,0.0433116,23912858.488141336,14036204.303922623,23912943.911325336,14036252.812914625,293.282808,1015.589344,378.705992,1064.098336,28.19402411025096,76.54981219730374,0.7807682795825265
5,"29.51,76.68",0,zigzag,29.51267632143632,76.67971944351197,haryana,23924283.86624,13896047.807704976,0.0403052,0.0889316,23924261.295328,13895998.006008975,23924306.437152,13896097.609400976,511.279328,223.557824,556.421152,323.161216,29.507501252523383,76.6804110895157,0.5775330147012827
6,"29.51,76.68",1,zigzag,29.507501252523383,76.6804110895157,haryana,23924348.33232,13896602.063224977,0.0839504,0.0351422,23924301.320096,13896582.383592976,23924395.344544,13896621.742856978,551.304096,807.935408,645.328544,847.2946719999999,29.51267632143632,76.67971944351197,0.5775330147012827
7,"29.37,76.32",0,zigzag,29.367643198977685,76.32371944026943,haryana,23891102.26096,13911570.30849431,0.0514534,0.097716,23891073.447056,13911515.58753431,23891131.074864,13911625.029454311,877.8630559999999,757.344,935.490864,866.7859199999999,29.371467347013787,76.33472577835086,1.1496065343591235
8,"28.59,76.76",0,zigzag,28.58585342797332,76.76409943161013,haryana,23932148.65116445,13994866.645608556,0.0822547,0.0371582,23932102.588532448,13994845.837016558,23932194.713796444,13994887.454200557,896.032088,979.341328,988.157352,1020.958512,28.584676387913195,76.76613434543611,0.23800112279106292
9,"28.59,76.76",1,zigzag,28.594544257418505,76.7655604450226,haryana,23932284.827484448,13993944.112360558,0.0745156,0.0369304,23932243.09874845,13993923.431336556,23932326.55622045,13993964.793384558,1036.542304,56.935648,1119.999776,98.297696,28.59928938481561,76.7671879463196,0.5494648568937159
10,"28.59,76.76",2,zigzag,28.586523405378355,76.75791482410432,haryana,23931572.20396445,13994795.530088557,0.0864729,0.0432931,23931523.779140446,13994771.285952557,23931620.628788445,13994819.774224555,317.22269600000004,904.790264,414.072344,953.278536,28.58461460592277,76.75337599048615,0.4918330417197516
