,parent,line_id,class,lat,lon,state,x_c,y_c,w,h,top_left_x,top_left_y,bottom_right_x,bottom_right_y,local_top_left_x,local_top_left_y,local_bottom_right_x,local_bottom_right_y,closest_hospital_long,closest_hospital_lat,dist,distance_km
0,"25.75,85.22",0,zigzag,25.754264251203917,85.22523560848235,bihar,24720783.70252444,14291570.678798532,0.0337623,0.0658767,24720764.79563644,14291533.787846532,24720802.609412443,14291607.569750533,1029.087192,81.824568,1066.900968,155.60647200000002,85.171266,25.7634702,0.05474913819389293,5.5095151531902
1,"24.83,85.24",0,zigzag,24.824886269975757,85.23904466838835,bihar,24722070.80019556,14387378.55809754,0.0300044,0.0620688,24722053.997731555,14387343.79956954,24722087.60265956,14387413.31662554,454.154176,1050.413952,487.759104,1119.931008,85.243784,24.802775,0.022613481024956205,2.4956968865510873
2,"26.53,85.02",0,zigzag,26.534774679862444,85.01914121932981,bihar,24701574.31317333,14210529.28847714,0.0514237,0.061442,24701545.51590133,14210494.88095714,24701603.110445336,14210563.69599714,451.15856800000006,28.172816000000005,508.753112,96.987856,85.01499302,26.51641714,0.018820383297929056,2.0755390968253
3,"25.49,86.21",0,zigzag,25.48558679197396,86.20922701568604,bihar,24812498.349084444,14319343.864921998,0.0593394,0.0359259,24812465.119020443,14319323.746417996,24812531.579148445,14319363.983426,454.722576,995.571416,521.1827040000001,1035.808424,86.208226,25.498563,0.013014761124920718,1.441026823973362
4,"26.05,86.26",0,zigzag,26.051487286093828,86.2648685466767,bihar,24817684.515662227,14260773.417801147,0.0400859,0.0664774,24817662.067558225,14260736.190457148,24817706.96376623,14260810.645145148,991.333336,368.471376,1036.229544,442.92606400000005,86.25903,26.072891,0.022185752100688627,2.4422057036601834
5,"26.35,86.11",0,zigzag,26.349092992648178,86.1083962690353,bihar,24803100.24232889,14229858.1556175,0.0463742,0.0748256,24803074.272776887,14229816.2532815,24803126.211880885,14229900.0579535,384.551888,612.438624,436.490992,696.243296,86.071544,26.3468614,0.0369197743600503,3.686926630428924
6,"27.05,84.26",0,zigzag,27.05243232922188,84.26030827808384,bihar,24630845.956711117,14156476.539375078,0.039523,0.0669964,24630823.823831115,14156439.02139108,24630868.089591112,14156514.057359075,566.60072,267.923936,610.8664799999999,342.959904,84.3,27.1,0.06195253095657424,6.578753282262871
7,"26.27,87.88",0,zigzag,26.267171617772902,87.87445205312726,bihar,24967708.57209422,14238376.033878228,0.0765913,0.0439549,24967665.68096622,14238351.419134228,24967751.46322222,14238400.648622228,0.0027440000000011,829.369576,85.785,878.599064,87.87249,26.25543,0.011904421044263747,1.3155599441493828
8,"25.69,86.84",0,zigzag,25.69285292294988,86.84128467426301,bihar,24871410.392764445,14297924.28045475,0.039443,0.0640071,24871388.304684445,14297888.436478749,24871432.48084445,14297960.12443075,657.65224,229.072984,701.8283999999999,300.760936,86.848382,25.69513728,0.0074558916133098735,0.7560131217026896
9,"27.10,84.50",0,zigzag,27.09949942991588,84.49572168178557,bihar,24652788.07628444,14151549.592905171,0.0337454,0.0701453,24652769.17886044,14151510.31153717,24652806.973708443,14151588.874273172,142.334416,573.1290319999999,180.12926399999998,651.691768,84.48731,27.052055,0.04818433687937111,5.322863078636358
10,"24.93,85.81",0,fcbk,24.93214491242031,85.8085929637909,bihar,24775156.548942223,14376358.703586556,0.0516796,0.0448316,24775127.608366225,14376333.597890556,24775185.48951822,14376383.809282556,399.914144,314.43014400000004,457.79529600000006,364.641536,85.835826,24.938225,0.027903507416500235,2.8318730926338413
11,"27.20,84.52",0,zigzag,27.196392240187706,84.523729882431,bihar,24655398.629795555,14141400.403666764,0.0654144,0.0530507,24655361.997731555,14141370.695274765,24655435.261859555,14141430.112058764,871.0181759999999,908.362168,944.282304,967.778952,84.48731,27.052055,0.1488611659946672,16.395909268149033
12,"26.47,85.09",0,zigzag,26.47460175244352,85.0892659965515,bihar,24708110.41614222,14216796.510743896,0.0507649,0.0612067,24708081.98779822,14216762.234991897,24708138.84448622,14216830.786495896,463.157576,46.570552000000006,520.014264,115.122056,85.08156613,26.46412713,0.013000217699916576,1.3915357109819926
13,"26.55,84.30",0,fcbk,26.55394001986667,84.30563549880982,bihar,24635070.75989333,14208532.46103809,0.0244461,0.0723799,24635057.07007733,14208491.92829409,24635084.449709333,14208572.99378209,1071.576744,108.93125600000002,1098.956376,189.996744,84.305549,26.566839,0.012899270154710648,1.4291896890973954
14,"26.32,84.24",0,zigzag,26.318093202568623,84.23852608108518,bihar,24628815.7088,14233082.106160589,0.0590254,0.0473466,24628782.654576,14233055.592064587,24628848.763024,14233108.620256586,389.566576,731.766224,455.675024,784.794416,84.254588,26.316197,0.016173460464827764,1.6174419964036937
15,"25.65,84.95",0,zigzag,25.65400725479075,84.9456490793228,bihar,24694724.34924445,14301941.55225391,0.0677438,0.0291865,24694686.412716445,14301925.20781391,24694762.285772447,14301957.89669391,116.528272,129.31492,192.40132800000003,162.0038,84.942244,25.653253,0.0034876160172746438,0.35196471142655844
16,"25.07,85.02",0,fcbk,25.07253867070601,85.02296648712162,bihar,24701930.853973337,14361920.009570166,0.0188847,0.059556,24701920.278541338,14361886.658210166,24701941.42940533,14361953.360930167,825.921208,265.41424,847.072072,332.11696000000006,85.02768,25.07304,0.004740098597675622,0.4787804789438389
17,"27.13,84.64",0,zigzag,27.131136145322248,84.63987730159764,bihar,24666224.353902224,14148236.722977236,0.040506,0.0711975,24666201.670542225,14148196.852377236,24666247.037262224,14148276.593577236,525.88032,401.1406,571.24704,480.8818,84.48731,27.052055,0.1718447236963201,17.48492903017866
18,"26.61,86.06",0,zigzag,26.60516506182496,86.06040568218235,bihar,24798627.195431117,14203193.709390655,0.0331338,0.0606114,24798608.640503112,14203159.767006656,24798645.750359114,14203227.651774658,579.257392,1030.085616,616.3672480000001,1097.970384,86.1293712,26.5852563,0.07178162331167239,7.214969703283035
19,"26.61,86.06",1,zigzag,26.605876985123736,86.05472935440065,bihar,24798098.123335112,14203119.494830657,0.031869,0.0650491,24798080.276695117,14203083.067334658,24798115.96997511,14203155.922326656,50.893584,953.385944,86.58686399999999,1026.240936,86.1293712,26.5852563,0.07743783164221907,7.778011670515622
20,"26.59,85.17",0,zigzag,26.59097611519658,85.17127343902588,bihar,24715754.063786667,14204672.742123844,0.0383574,0.073575,24715732.583642665,14204631.540123845,24715775.54393067,14204713.944123844,657.2129759999999,417.05608,700.1732639999999,499.46008,85.17751161,26.59623587,0.008159644458823435,0.8518968104934374
21,"26.34,86.57",0,zigzag,26.34132073377014,86.56893077793121,bihar,24846025.16972445,14230666.54472132,0.0289497,0.0597307,24846008.957892444,14230633.09552932,24846041.381556448,14230699.99391332,444.129448,389.187288,476.553112,456.0856720000001,86.5728715,26.3107471,0.030826553040099,3.4101174531282483
22,"26.34,86.57",1,zigzag,26.34475547986936,86.57455488529209,bihar,24846549.374524448,14230309.30504132,0.0429332,0.078137,24846525.331932448,14230265.54832132,24846573.41711645,14230353.06176132,960.503488,21.64008,1008.588672,109.15352,86.5728715,26.3107471,0.03405001743582858,3.7716380880127005
23,"26.34,86.57",2,zigzag,26.33517559584628,86.57154394989014,bihar,24846268.735004447,14231305.65928132,0.0464258,0.0741989,24846242.736556448,14231264.10789732,24846294.733452447,14231347.21066532,677.9081120000001,1020.199656,729.9050080000001,1103.302424,86.5728715,26.3107471,0.024464541659428525,2.7097490572547716
24,"26.34,86.57",3,zigzag,26.336966043664287,86.57209563007356,bihar,24846320.155324448,14231119.45032132,0.0459981,0.0843693,24846294.39638845,14231072.20351332,24846345.914260447,14231166.69712932,729.5679439999999,828.295272,781.085816,922.788888,86.5728715,26.3107471,0.026230420908055965,2.9059074795453332
25,"26.78,85.57",0,zigzag,26.777511833475877,85.56665165901188,bihar,24752605.984888893,14185213.872951023,0.0442744,0.0799477,24752581.19122489,14185169.102239026,24752630.778552894,14185258.643663025,223.118336,775.003208,272.705664,864.5446319999999,85.547056,26.802118,0.03145557634383597,3.351119747381614
26,"25.25,83.57",0,zigzag,25.247769596428977,83.57457486839296,bihar,24566930.97041778,14343875.261676207,0.0609792,0.030827,24566896.822065774,14343857.99855621,24566965.11876978,14343892.524796208,952.260288,772.5844000000001,1020.556992,807.11064,83.532441,25.2933449,0.062067472651507014,6.595551908083916
27,"26.76,85.08",0,zigzag,26.764490045707376,85.08053390808108,bihar,24707296.52650667,14186573.30360588,0.0764446,0.0467595,24707253.71753067,14186547.11828588,24707339.335482668,14186599.488925878,566.9548639999999,65.10520799999999,652.5728160000001,117.475848,85.0908,26.7532918,0.015191884353513548,1.6069182552874741
28,"25.93,85.03",0,zigzag,25.9347992595392,85.02678728694919,bihar,24702286.97832889,14272873.49843868,0.0256403,0.0606843,24702272.61976089,14272839.515230678,24702301.336896893,14272907.48164668,246.194872,28.609784000000005,274.912008,96.5762,84.97396946,25.92914035,0.053120110135488334,5.3280551896523205
29,"25.93,85.03",1,zigzag,25.93264013164445,85.02710716075896,bihar,24702316.79272889,14273097.278246678,0.0383324,0.0641597,24702295.32658489,14273061.34881468,24702338.25887289,14273133.207678678,268.901696,250.443368,311.83398400000004,322.302232,84.97396946,25.92914035,0.05325282822073233,5.337236277724676
30,"26.76,85.69",0,zigzag,26.762389777870062,85.69492757072452,bihar,24764562.16643556,14186792.54987788,0.0407824,0.0759048,24764539.32829156,14186750.04318988,24764585.00457956,14186835.05656588,996.444736,268.030112,1042.121024,353.043488,85.547056,26.802118,0.15311542398511652,15.349844981971232
31,"26.02,86.86",0,zigzag,26.02189111898913,86.8548602046585,bihar,24872675.72390756,14263843.55956944,0.0352409,0.0620846,24872655.98900356,14263808.79219344,24872695.458811555,14263878.32694544,61.201448,329.084784,100.671256,398.619536,86.8697,26.0224,0.01484851796176539,1.486517210001733
32,"26.71,85.09",0,fcbk,26.707243360109,85.0897761844635,bihar,24708157.969102222,14192547.817378264,0.0458897,0.0628034,24708132.270870224,14192512.647474265,24708183.66733422,14192582.987282263,513.440648,812.456176,564.8371119999999,882.795984,85.0804846,26.717663,0.013960746301700683,1.4790760295954593
33,"25.70,85.46",0,zigzag,25.70322484042532,85.45843603096007,bihar,24742519.557297777,14296851.434480594,0.0660359,0.0314591,24742482.577193774,14296833.817384597,24742556.537401777,14296869.051576594,377.247416,208.803224,451.207624,244.037416,85.3963,25.81115,0.12453403716531379,13.483847969678614
34,"25.26,86.05",0,zigzag,25.264269982986853,86.0451242868042,bihar,24797202.866147555,14342174.764164053,0.0336045,0.0676991,24797184.04762756,14342136.852668053,24797221.684667557,14342212.675660051,86.73207199999999,82.01026399999999,124.369112,157.833256,86.0625,25.2632,0.01740862638621997,1.754325729930557
35,"26.16,84.37",0,zigzag,26.15984419366585,84.3642251650238,bihar,24640531.71259022,14249526.449855048,0.0388247,0.0362946,24640509.970758226,14249506.12487905,24640553.45442222,14249546.774831047,0.0045360000000022,555.854544,43.48819999999999,596.5044959999999,84.353042,26.15096,0.01428257949537639,1.4896595458713022
36,"24.93,85.79",0,fcbk,24.92827069895496,85.79210417366025,bihar,24773619.68231111,14376756.910626557,0.0243965,0.0583681,24773606.02027111,14376724.224490557,24773633.34435111,14376789.596762557,742.4611600000001,705.056744,769.7852399999999,770.429016,85.835826,24.938225,0.044840675817591755,4.551683857652038
37,"26.24,87.84",0,zigzag,26.24417710675053,87.83577407283788,bihar,24964103.523040004,14240765.836110206,0.0886836,0.0331976,24964053.860224005,14240747.245454209,24964153.185856003,14240784.426766206,116.452224,107.336544,215.777856,144.517856,87.82897,26.2652,0.022096548322345897,2.426324956706869
38,"26.24,87.84",1,zigzag,26.240389031840238,87.8419937679291,bihar,24964683.240640003,14241159.482510203,0.0758998,0.0421697,24964640.736752003,14241135.867478205,24964725.744528003,14241183.097542206,703.328752,495.958568,788.336528,543.188632,87.8374,26.21912,0.02175946734659203,2.400719400926028
39,"26.24,87.84",2,zigzag,26.241564041283983,87.83999161262514,bihar,24964496.626240004,14241037.380110206,0.0834327,0.0360676,24964449.903928004,14241017.182254206,24964543.348552004,14241057.577966206,512.495928,377.273344,605.940552,417.669056,87.8374,26.21912,0.022593172534106268,2.50005746333652
40,"25.08,85.12",0,fcbk,25.08112021929659,85.12001182403563,bihar,24710976.134968888,14361036.9105987,0.0267537,0.0675106,24710961.15289689,14360999.1046627,24710991.117040887,14361074.716534698,546.120008,406.912464,576.084152,482.524336,85.12968,25.08115,0.00966822183073028,0.9753669059476879
41,"24.54,84.64",0,zigzag,24.535840019633238,84.64310933685303,bihar,24666525.601422224,14417028.10868282,0.081651,0.051617,24666479.876862224,14416999.20316282,24666571.325982224,14417057.014202818,804.08664,957.32728,895.53576,1015.13832,84.65692,24.53943,0.014269631235347371,1.4547617278134837
42,"26.13,87.97",0,zigzag,26.1301880812587,87.9655242900848,bihar,24976197.11982222,14252605.659588153,0.0305198,0.0650614,24976180.02873422,14252569.225204151,24976214.21091022,14252642.093972152,125.74251200000002,504.039536,159.924688,576.9083039999999,87.93951,26.13251,0.026117706546659878,2.6142753827834224
43,"26.46,85.56",0,zigzag,26.4611767717206,85.56312963237764,bihar,24752277.708213333,14218194.322254457,0.0333802,0.0656252,24752259.01530133,14218157.572142456,24752296.40112533,14218231.072366456,833.009968,400.731968,870.3957920000001,474.232192,85.614576,26.276647,0.19156713025148955,21.079612755399747
44,"25.56,87.42",0,zigzag,25.56013987242582,87.42567969474788,bihar,24925879.956586663,14311643.56781165,0.0363652,0.0839529,24925859.592074662,14311596.55418765,24925900.321098667,14311690.581435649,1069.021408,498.535016,1109.750432,592.562264,87.418893,25.561006,0.006841739733120197,0.6886931006330754
45,"24.86,85.03",0,zigzag,24.859642244622886,85.03086891040806,bihar,24702667.41320889,14383808.74369375,0.0434921,0.07493,24702643.05763289,14383766.78289375,24702691.76878489,14383850.70449375,616.632744,554.78976,665.343896,638.7113599999999,85.03529,24.85725,0.005026814847964563,0.519487903700121
46,"25.21,85.44",0,zigzag,25.20617857565453,85.43573725490569,bihar,24740403.878026664,14348160.52661727,0.0546402,0.0223906,24740373.279514663,14348147.98788127,24740434.476538666,14348173.06535327,132.084848,941.134544,193.281872,966.212016,85.492978,25.193115,0.05871251917464296,5.9478176144514
47,"26.63,85.56",0,zigzag,26.62743615453088,85.56507379703525,bihar,24752458.917493336,14200871.83684495,0.0735098,0.0343582,24752417.75200533,14200852.596252952,24752500.082981337,14200891.07743695,991.746672,808.082128,1074.0776480000002,846.563312,85.547056,26.802118,0.17560862207335165,19.43744199997181
48,"26.32,85.77",0,zigzag,26.317744757030948,85.77363210582735,bihar,24771897.960800003,14233118.339280589,0.0402912,0.078953,24771875.397728004,14233074.125600588,24771920.523872003,14233162.552960586,875.973728,750.29976,921.099872,838.72712,85.694204,26.308514,0.07996268423886628,7.996627011861369
49,"26.32,85.77",1,zigzag,26.316138561526863,85.77448682498931,bihar,24771977.6264,14233285.358160589,0.0311253,0.0609719,24771960.196232,14233251.213896587,24771995.056568,14233319.502424588,960.772232,927.388056,995.632568,995.676584,85.694204,26.308514,0.08064406938356522,8.060745467141109
50,"26.33,87.27",0,zigzag,26.325504797705914,87.27047248077398,bihar,24911413.595733337,14232311.385393282,0.0661615,0.0276349,24911376.54529334,14232295.909849282,24911450.646173336,14232326.860937282,566.98796,1011.997896,641.08884,1042.948984,87.263525,26.327653,0.007272019128210351,0.733328920518188
51,"25.33,86.46",0,zigzag,25.32798034137601,86.46344724712374,bihar,24836193.392053336,14335606.728499511,0.0310486,0.0678093,24836176.00483733,14335568.75529151,24836210.779269338,14335644.701707512,863.919504,730.294152,898.6939360000001,806.240568,86.48179,25.33566,0.019885515825866444,2.0332356521712347
52,"25.33,86.46",1,zigzag,25.33483696891623,86.46218498325352,bihar,24836075.740533337,14334899.658387512,0.0716459,0.0338204,24836035.618829336,14334880.718963511,24836115.862237334,14334918.597811513,723.5334959999999,42.257824,803.776904,80.13667199999999,86.48179,25.33566,0.019622284826051464,1.9758288942441156
53,"25.33,86.46",2,zigzag,25.33093124315818,86.4618062416077,bihar,24836040.439253338,14335302.430099512,0.033054,0.0702624,24836021.929013334,14335263.083155513,24836058.949493337,14335341.777043512,709.8436800000001,424.622016,746.86416,503.3159040000001,86.48179,25.33566,0.020535621265276822,2.078965044292975
54,"25.33,86.46",3,zigzag,25.333360758987624,86.4617154705048,bihar,24836031.978773337,14335051.891699512,0.028334,0.0740373,24836016.111733336,14335010.430811511,24836047.845813338,14335093.352587512,704.0263999999999,171.969672,735.76048,254.89144800000005,86.48179,25.33566,0.020205772533779122,2.0369912614501504
55,"25.33,86.46",4,zigzag,25.33248028710222,86.46153329143529,bihar,24836014.998453338,14335142.688979512,0.0624702,0.0323474,24835980.015141334,14335124.574435512,24836049.981765337,14335160.803523513,667.929808,286.113296,737.8964319999999,322.342384,86.48179,25.33566,0.02050475105891669,2.0695491222838256
56,"26.57,85.38",0,zigzag,26.570865622269377,85.3759789627075,bihar,24734834.00149333,14206768.713185942,0.0379874,0.0614166,24734812.72854933,14206734.319889942,24734855.27443733,14206803.10648194,163.939216,435.397424,206.485104,504.184016,85.3059,26.6224,0.08698766063208827,9.018175802718488
57,"26.53,85.56",0,zigzag,26.530865537254755,85.55727391090393,bihar,24751731.91541333,14210936.53918114,0.0475248,0.0707934,24751705.301525336,14210896.89487714,24751758.52930133,14210976.18348514,279.296192,430.186736,332.523968,509.475344,85.614576,26.276647,0.26059661183277255,28.740331101053897
58,"25.67,85.31",0,zigzag,25.672617111022245,85.31034320945743,bihar,24728716.305884447,14300017.154809684,0.0573977,0.0490948,24728684.163172446,14299989.661721686,24728748.448596448,14300044.647897683,559.846728,261.860032,624.132152,316.846208,85.214591,25.685839,0.09666076745050031,9.723338864176654
59,"25.08,84.50",0,zigzag,25.0849844803646,84.5046687877655,bihar,24653622.007004444,14360639.2319747,0.029858,0.0618374,24653605.286524445,14360604.603030698,24653638.72748444,14360673.8609187,978.44208,12.410831999999996,1011.88304,81.66872,84.52227,25.0956707,0.0205912108002482,2.133971514708202
60,"25.06,85.15",0,zigzag,25.064691028494,85.15416743183135,bihar,24714159.668355554,14362727.530479323,0.0677706,0.038863,24714121.716819555,14362705.767199324,24714197.619891558,14362749.293759324,910.481264,55.555472,986.384336,99.082032,85.15985,25.05684,0.009691760903208252,1.0416882971976906
61,"26.55,86.24",0,zigzag,26.55217549244816,86.23974465370178,bihar,24815342.79911111,14208716.320238093,0.0786973,0.0396322,24815298.72862311,14208694.12620609,24815386.869599108,14208738.514270091,492.129512,311.129168,580.270488,355.517232,86.1601991,26.4959012,0.09743865302980938,10.086230642813877
62,"25.90,86.00",0,zigzag,25.898625680061087,85.99745503253935,bihar,24792759.769617777,14276622.11792167,0.0408212,0.0804792,24792736.90974578,14276577.04956967,24792782.629489776,14276667.186273672,299.931968,657.3295679999999,345.651712,747.466272,86.00833,25.908327,0.014573281230641475,1.530526797319732
63,"25.82,85.86",0,zigzag,25.818912897943967,85.85590179405214,bihar,24779566.05152,14284878.594088484,0.0266668,0.0688504,24779551.118112,14284840.037864486,24779580.984928,14284917.150312483,163.086112,634.0060159999999,192.952928,711.118464,85.824305,25.835277,0.03558287833318449,3.650059891510062
64,"25.82,85.86",1,zigzag,25.81700312766993,85.85468606929778,bihar,24779452.73776,14285076.335688485,0.0265086,0.0662253,24779437.892944,14285039.249520484,24779467.582576,14285113.421856483,49.860944,833.217672,79.550576,907.390008,85.824305,25.835277,0.03545340296237816,3.657528659599119
65,"25.37,87.19",0,zigzag,25.37388169026065,87.18818352050783,bihar,24903743.70872889,14330872.51908978,0.0628497,0.0512923,24903708.51289689,14330843.795401778,24903778.90456089,14330901.24277778,355.496008,130.85391199999998,425.887672,188.301288,87.231975,25.317154,0.07166396945761218,7.676207457252236
66,"26.17,85.94",0,zigzag,26.1669872897541,85.93615053138733,bihar,24787045.775964446,14248784.66147678,0.0309035,0.0618082,24787028.470004447,14248750.04888478,24787063.08192445,14248819.27406878,183.89756,838.261648,218.50948,907.486832,85.913843,26.124034,0.048400527448532286,5.25565307535612
67,"26.24,86.82",0,zigzag,26.237491713029726,86.821841365242,bihar,24869598.14501333,14241460.555310206,0.0792104,0.058274,24869553.78718933,14241427.921870207,24869642.502837334,14241493.188750206,687.269856,788.01296,775.985504,853.27984,86.804459,26.245281,0.019047824361630772,1.939307328886883
68,"24.69,84.49",0,fcbk,24.69515394686592,84.48509414752962,bihar,24651797.51829689,14400694.638760366,0.0378131,0.0558422,24651776.34296089,14400663.367128365,24651818.69363289,14400725.910392366,81.56607199999999,0.0,123.91674400000002,62.543264,84.484408,24.6984928,0.003408627096555552,0.3763010593883822
69,"26.00,84.63",0,zigzag,25.997717209494656,84.62863584995272,bihar,24665176.574666668,14266350.652047042,0.0300033,0.0546363,24665159.772818662,14266320.055719042,24665193.37651467,14266381.24837504,416.050152,766.131352,449.653848,827.324008,84.64,26.0,0.011591162098275591,1.165533186616425
70,"26.69,85.27",0,zigzag,26.694489152231508,85.27115422534939,bihar,24725063.62782222,14193878.492834108,0.035068,0.0637668,24725043.98974222,14193842.783426108,24725083.26590222,14193914.202242108,647.9435199999999,55.96259200000001,687.21968,127.381408,85.2567,26.6766033,0.022996267968922422,2.4488517016070834
71,"26.53,85.65",0,zigzag,26.52799389116451,85.64577936000829,bihar,24759981.22117334,14211235.69566114,0.0637826,0.0492414,24759945.50291734,14211208.120477138,24760016.93942934,14211263.27084514,130.889584,741.4123359999999,202.326096,796.562704,85.84433,26.54555,0.19932529593245452,19.88260359343969
72,"26.11,84.36",0,zigzag,26.10962637259468,84.35816703414913,bihar,24639967.053866666,14254740.1336308,0.072693,0.0377734,24639926.345786665,14254718.9805268,24640007.761946667,14254761.2867348,348.44712,577.6291359999999,429.86328,619.935344,84.355332,26.07748,0.03227114329587005,3.5727528391919576
73,"25.51,86.26",0,zigzag,25.51090419507818,86.25894806938173,bihar,24817132.687182225,14316729.465367112,0.0293514,0.0597289,24817116.250398222,14316696.017183112,24817149.123966224,14316762.913551113,445.516176,433.170696,478.389744,500.067064,86.208226,25.498563,0.052201852633054616,5.279375628193379
