,parent,line_id,class,lat,lon,state,x_c,y_c,w,h,top_left_x,top_left_y,bottom_right_x,bottom_right_y,local_top_left_x,local_top_left_y,local_bottom_right_x,local_bottom_right_y,closest_hospital_long,closest_hospital_lat,dist,distance_km
0,"30.79,75.87",0,zigzag,30.788065114183468,75.87135802173616,punjab,23848939.120800003,13758569.420934342,0.115034,0.045408,23848874.701760005,13758543.992454344,23849003.53984,13758594.84941434,622.1577599999999,744.5043200000001,750.99584,795.36128,75.88306479,30.8017559,0.018013496036517397,1.8865873326620053
1,"30.79,75.87",1,zigzag,30.78765117940989,75.87581765384677,punjab,23849354.788640004,13758614.33181434,0.0316602,0.100504,23849337.058928005,13758558.049574342,23849372.518352,13758670.61405434,1084.514928,758.5614400000001,1119.974352,871.1259200000001,75.88306479,30.8017559,0.01585762041885886,1.7106598666161326
2,"31.25,75.43",0,fcbk,31.245299755331487,75.42873374671937,punjab,23807683.54819556,13708841.659225648,0.0763111,0.0402494,23807640.813979555,13708819.119561648,23807726.28241156,13708864.198889649,399.242424,1049.891696,484.7108559999999,1094.971024,75.42523362,31.24374803,0.003828673210924995,0.37519224382854655
3,"31.11,75.50",0,zigzag,31.106355245510336,75.50579855995183,punjab,23814866.509404447,13723978.211122176,0.0348846,0.0817053,23814846.97402845,13723932.456154175,23814886.044780448,13724023.966090176,1080.929584,911.019592,1120.000336,1002.529528,75.49673262,31.11007743,0.009800302270092695,0.9582716898599724
4,"30.70,75.33",0,zigzag,30.69734284198712,75.33490743141175,punjab,23798938.301760003,13768407.943834092,0.0376248,0.0837074,23798917.231872004,13768361.067690091,23798959.371648,13768454.819978092,996.335872,801.152016,1038.475648,894.9043039999999,75.34106996,30.67898833,0.019361427346306477,2.1187917515785357
5,"31.02,74.92",0,zigzag,31.020637123708287,74.92018281593322,punjab,23760283.165902223,13733305.255970502,0.0385168,0.0829568,23760261.596494224,13733258.800162502,23760304.735310223,13733351.711778505,555.4702719999999,444.249792,598.6090879999999,537.161408,74.91451333,31.034065,0.014575696636949492,1.5841027470499962
6,"31.02,74.92",1,zigzag,31.016316667986494,74.92366390094756,punjab,23760607.62654222,13733775.1452505,0.0387347,0.0842571,23760585.935110223,13733727.9612745,23760629.31797422,13733822.3292265,879.808888,913.410904,923.191752,1007.778856,74.91451333,31.034065,0.019968380954093118,2.152996664587432
7,"30.43,76.21",0,zigzag,30.425071038045253,76.213750802803,punjab,23880852.441048887,13797879.5619082,0.0722852,0.0485818,23880811.96133689,13797852.3561002,23880892.920760885,13797906.7677162,869.1204479999999,1065.588272,950.079872,1119.999888,76.20380809,30.42323067,0.010111601872360956,0.9767746002051083
8,"31.46,75.14",0,fcbk,31.46354273859341,75.14476493015287,punjab,23781215.736124445,13685021.3128881,0.0350987,0.0751289,23781196.080852445,13684979.2407041,23781235.391396444,13685063.3850721,984.468408,130.809896,1023.778952,214.954264,75.1575422,31.44655271,0.021258402958620585,2.241344701898266
9,"31.46,75.14",1,zigzag,31.463916580658005,75.1456345855713,punjab,23781296.793884445,13684980.462008098,0.0621759,0.0340315,23781261.975380447,13684961.4043681,23781331.612388443,13684999.519648096,1050.362936,112.97356,1119.999944,151.08884,75.15249916,31.48353884,0.02078834875048512,2.2713602436068436
10,"31.04,75.88",0,zigzag,31.04391650946088,75.87675740242005,punjab,23849442.37955556,13730773.041918617,0.0650256,0.0330003,23849405.96521956,13730754.561750617,23849478.79389156,13730791.522086617,221.353664,115.458392,294.182336,152.418728,75.8766968,31.05697824,0.013061871126673775,1.448169951167188
11,"31.89,75.23",0,zigzag,31.893098396942268,75.22678249244692,punjab,23788860.327004444,13637974.086298494,0.0410092,0.0760073,23788837.361852445,13637931.522210494,23788883.292156443,13638016.650386494,237.141408,177.300872,283.071712,262.429048,75.23085977,31.90791719,0.015369476891967361,1.6878409264103544
12,"30.58,74.94",0,zigzag,30.5750994391674,74.94202889156347,punjab,23762319.367733337,13781650.213862391,0.0870968,0.036625,23762270.59352533,13781629.703862391,23762368.14194134,13781670.723862393,700.332192,1070.03176,797.880608,1111.0517599999998,74.93684675,30.55496656,0.020789117700202708,2.286668818787052
13,"30.83,75.73",0,zigzag,30.834871476108468,75.72666937103273,punjab,23835453.161102224,13753489.800737256,0.0372104,0.0557355,23835432.323278222,13753458.588857256,23835473.998926222,13753521.012617256,228.725056,-5.600000000161032e-05,270.400704,62.423704,75.73738048,30.83702532,0.01092551595202006,1.052158667430355
14,"30.25,74.85",0,zigzag,30.247974810562635,74.84573874492644,punjab,23753344.47557333,13817004.898000715,0.0864274,0.0398124,23753296.07622933,13816982.603056718,23753392.87491733,13817027.192944717,114.422896,756.218176,211.221584,800.808064,74.84539696,30.26692741,0.018955681005154764,2.1012818388146437
15,"29.97,75.78",0,zigzag,29.96969071060168,75.77681552524568,punjab,23840127.12144,13846988.457572129,0.0392692,0.0836445,23840105.130688,13846941.616652127,23840149.112192,13847035.298492126,241.194688,546.43652,285.176192,640.1183599999999,75.80776172,29.94134634,0.041965108299368725,4.335406050567569
16,"30.24,75.24",0,zigzag,30.236417988197733,75.23415190406804,punjab,23789547.205952004,13818251.765456472,0.0266069,0.0298767,23789532.306088004,13818235.034504471,23789562.105816003,13818268.496408474,0.0180879999999994,929.717208,29.817816,963.179112,75.2229544,30.21196186,0.02689770071544575,2.9175600541607576
17,"31.07,76.21",0,zigzag,31.07509374886655,76.20705921573636,punjab,23880228.739928886,13727380.768928172,0.0370599,0.0101664,23880207.986384887,13727375.075744173,23880249.493472885,13727386.462112172,265.14549600000004,1.1199999999933484e-05,306.65258400000005,11.3863792,76.19927173,31.0770727,0.00803499730445262,0.7748594474116615
18,"30.42,76.52",0,zigzag,30.419870763844266,76.51870576076509,punjab,23909276.30327111,13798441.654191602,0.0784798,0.0747999,23909232.35458311,13798399.766247602,23909320.25195911,13798483.542135602,395.419472,532.080696,483.316848,615.856584,76.51711185,30.41081172,0.009198196937407721,1.0158905818582773
19,"31.46,74.75",0,zigzag,31.457425708254792,74.75355373554227,punjab,23744752.209937774,13685689.7165681,0.0634565,0.0723267,23744716.67429777,13685649.2136161,23744787.74557777,13685730.2195201,855.69652,800.782808,926.7678,881.788712,74.73650284,31.43959087,0.024674166538466397,2.556811293253035
20,"30.68,75.72",0,zigzag,30.68254154210821,75.71987856330865,punjab,23834820.211946663,13770012.216376616,0.0413001,0.0923903,23834797.08389066,13769960.477808615,23834843.340002663,13770063.954944616,525.553224,232.815352,571.809336,336.29248800000005,75.72068776,30.69022463,0.007725583397921052,0.8553000284664082
21,"30.44,75.07",0,zigzag,30.43674431400338,75.07312302341461,punjab,23774538.22643556,13796617.700402636,0.0615469,0.0841378,23774503.76017156,13796570.583234636,23774572.692699555,13796664.817570636,816.620616,864.843952,885.553144,959.078288,75.06384281,30.43270286,0.010122040875347432,0.9977376424767963
22,"31.62,74.74",0,zigzag,31.620216803940544,74.74190868053432,punjab,23743666.81214222,13667886.725804014,0.0432497,0.085752,23743642.59231022,13667838.704684014,23743691.03197422,13667934.746924017,713.682088,488.24832,762.121752,584.29056,74.74581965,31.61187404,0.009213978094672524,0.996704637823926
23,"30.08,75.86",0,fcbk,30.07960825386484,75.85527670631409,punjab,23847440.233564444,13835155.540827308,0.0356198,0.0879136,23847420.286476444,13835106.309211308,23847460.180652443,13835204.772443308,99.810032,552.964384,139.704208,651.4276160000001,75.87914586,30.06692136,0.027031347980063077,2.6970635459184074
