,parent,line_id,class,lat,lon,state,x_c,y_c,w,h,top_left_x,top_left_y,bottom_right_x,bottom_right_y,local_top_left_x,local_top_left_y,local_bottom_right_x,local_bottom_right_y,closest_hospital_long,closest_hospital_lat,dist,distance_km
0,"22.25,88.55",0,zigzag,22.24982909474469,88.55447947101594,west_bengal,25031091.721404444,14649202.974264594,0.0447872,0.0699897,25031066.640572444,14649163.780032594,25031116.802236445,14649242.168496594,952.436128,538.016808,1002.597792,616.4052720000001,88.546683,22.255917,0.00989179208738056,1.0489544183621473
1,"23.73,87.71",0,zigzag,23.73220308600688,87.7154130771637,west_bengal,24952885.065137777,14499107.820443032,0.0653852,0.0425358,24952848.44942578,14499084.000395032,24952921.680849776,14499131.640491031,1027.919648,311.870832,1101.151072,359.510928,87.721783,23.715133,0.0182198724809652,1.9990486805911851
2,"23.55,87.90",0,zigzag,23.550058426093464,87.90496625118261,west_bengal,24970552.701493338,14517640.27782988,0.0567422,0.0258809,24970520.925861336,14517625.78452588,24970584.47712534,14517654.77113388,991.112528,539.566216,1054.663792,568.552824,87.898233,23.560383,0.012326130692137754,1.3342064993382632
3,"22.53,88.96",0,zigzag,22.527042652821837,88.96553636436467,west_bengal,25069405.000782225,14621258.382642686,0.0781695,0.0550079,25069361.225862224,14621227.578218684,25069448.775702227,14621289.187066687,1032.25164,827.6128560000001,1119.80148,889.2217039999999,88.96398798,22.51872183,0.008463662716173607,0.9350945258689672
4,"22.62,88.56",0,zigzag,22.62299160082343,88.55892306346894,west_bengal,25031505.89424,14611573.189251669,0.0624947,0.0269095,25031470.897208,14611558.119931668,25031540.891272,14611588.25857167,424.625208,242.85324,494.619272,272.99188,88.556583,22.6375,0.014695902275986604,1.6245529456963548
5,"25.06,88.13",0,zigzag,25.060111779441662,88.1348074197769,west_bengal,24991975.45111111,14363198.710447324,0.0589369,0.0489478,24991942.44644711,14363171.299679322,24992008.455775112,14363226.121215325,975.079336,521.0879520000001,1041.088664,575.9094880000001,88.1558216,25.0520764,0.022498068655331677,2.2996677057625523
6,"22.15,88.60",0,zigzag,22.145527219324265,88.60545716495507,west_bengal,25035843.18686222,14659702.800692344,0.0257355,0.0583972,25035828.774982218,14659670.098260343,25035857.59874222,14659735.503124343,1054.23276,977.402048,1083.05652,1042.806912,88.6102,22.145967,0.004763180797138327,0.49167091887156933
7,"22.15,88.60",1,zigzag,22.150433081304115,88.59830106391902,west_bengal,25035176.18990222,14659209.113652345,0.0258352,0.0621802,25035161.72219022,14659174.292740343,25035190.65761422,14659243.934564345,387.179968,481.596528,416.11539199999993,551.2383520000001,88.58909817,22.15155861,0.009271465435953025,0.9574477423189834
8,"22.15,88.60",2,zigzag,22.146680867745832,88.59814842090606,west_bengal,25035161.96254222,14659586.708212344,0.0418673,0.0703557,25035138.51685422,14659547.309020344,25035185.408230223,14659626.107404344,363.974632,854.612808,410.8660080000001,933.411192,88.58909817,22.15155861,0.010281021883094318,1.0785559712257595
9,"23.77,87.19",0,fcbk,23.768393663546103,87.18756198959353,west_bengal,24903685.77784889,14495422.502167985,0.0400565,0.0692781,24903663.346208893,14495383.706431985,24903708.20948889,14495461.297903985,310.32931999999994,684.802664,355.1926,762.394136,87.189368,23.763457,0.005256645370928759,0.5769203398110462
