parent,line_id,class,lat,lon,state,x_c,y_c,w,h,top_left_x,top_left_y,bottom_right_x,bottom_right_y,local_top_left_x,local_top_left_y,local_bottom_right_x,local_bottom_right_y
"28.93,76.87",0,zigzag,28.926076865229174,76.86740789260864,haryana,23941777.697635554,13958694.590025868,0.115501,0.0754571,23941713.017075554,13958652.334049867,23941842.378195554,13958736.846001869,253.71751999999998,935.535384,383.07863999999995,1020.047336
"28.93,76.87",1,zigzag,28.92585394247982,76.87494172592163,haryana,23942479.901795555,13958718.329545869,0.106513,0.076282,23942420.254515555,13958675.611625869,23942539.549075555,13958761.047465868,960.9549599999999,958.8129600000001,1080.24952,1044.2488
"29.33,75.60",0,zigzag,29.33266398147643,75.59840152015686,haryana,23823497.73088,13915310.725827226,0.0927,0.0295288,23823445.81888,13915294.189699227,23823549.64288,13915327.261955226,359.09888,258.650112,462.92288,291.72236799999996
"29.57,75.92",0,zigzag,29.571886646174615,75.92554135112765,haryana,23853989.37313778,13889704.29857485,0.0503867,0.0865843,23853961.15658578,13889655.81136685,23854017.58968978,13889752.78578285,1048.2748080000001,309.329272,1104.707912,406.303688
"28.20,76.56",0,zigzag,28.195462807307393,76.55759668064117,haryana,23912901.199733336,14036228.558418624,0.0762707,0.0433116,23912858.488141336,14036204.303922623,23912943.911325336,14036252.812914625,293.282808,1015.589344,378.70599200000004,1064.098336
"29.51,76.68",0,zigzag,29.512676321436317,76.67971944351197,haryana,23924283.866240002,13896047.807704976,0.0403052,0.0889316,23924261.295328002,13895998.006008975,23924306.437152002,13896097.609400976,511.279328,223.557824,556.421152,323.161216
"29.51,76.68",1,zigzag,29.507501252523383,76.6804110895157,haryana,23924348.33232,13896602.063224977,0.0839504,0.0351422,23924301.320096,13896582.383592976,23924395.344544,13896621.742856978,551.304096,807.935408,645.328544,847.2946719999999
"29.37,76.32",0,zigzag,29.367643198977685,76.32371944026943,haryana,23891102.260959998,13911570.30849431,0.0514534,0.097716,23891073.447056,13911515.58753431,23891131.074863996,13911625.029454311,877.8630559999999,757.344,935.4908639999999,866.7859199999999
"28.59,76.76",0,zigzag,28.58585342797332,76.76409943161013,haryana,23932148.651164446,13994866.645608557,0.0822547,0.0371582,23932102.588532448,13994845.837016558,23932194.713796444,13994887.454200557,896.032088,979.341328,988.1573520000001,1020.9585119999999
"28.59,76.76",1,zigzag,28.594544257418505,76.7655604450226,haryana,23932284.827484448,13993944.112360558,0.0745156,0.0369304,23932243.09874845,13993923.431336557,23932326.556220446,13993964.793384558,1036.542304,56.935648,1119.9997759999999,98.297696
"28.59,76.76",2,zigzag,28.586523405378355,76.75791482410432,haryana,23931572.203964446,13994795.530088557,0.0864729,0.0432931,23931523.779140446,13994771.285952557,23931620.628788445,13994819.774224557,317.22269600000004,904.790264,414.072344,953.278536
"29.10,76.83",0,zigzag,29.10317411971888,76.83556868820195,haryana,23938810.068693336,13939818.94903486,0.0731267,0.0395026,23938769.117741335,13939796.827578861,23938851.019645337,13939841.07049086,1038.0884079999998,199.284624,1119.990312,243.527536
"29.30,76.58",0,zigzag,29.298926825102996,76.58464630527496,haryana,23915422.407484446,13918917.110929279,0.0937605,0.0367268,23915369.901604448,13918896.543921279,23915474.913364444,13918937.677937279,940.56116,654.133312,1045.5729199999998,695.267328
"29.30,76.58",1,zigzag,29.30156366032059,76.58027425994871,haryana,23915014.903324444,13918635.285329279,0.138544,0.0531673,23914937.318684444,13918605.511641279,23915092.487964444,13918665.059017278,507.97823999999997,363.101032,663.14752,422.648408
"29.30,76.58",2,zigzag,29.29849660257058,76.58017368354798,haryana,23915005.528924447,13918963.092529278,0.0429073,0.0911445,23914981.500836447,13918912.051609278,23915029.557012446,13919014.133449279,552.160392,669.641,600.2165679999999,771.7228399999999
"29.62,76.75",0,zigzag,29.62388873358175,76.74644672107699,haryana,23930503.29928889,13884129.976686068,0.109002,0.0391866,23930442.25816889,13884108.032190068,23930564.34040889,13884151.921182068,167.76928,121.10638399999999,289.85152000000005,164.99537600000002
"29.67,75.99",0,zigzag,29.673621437440975,75.99363907527926,haryana,23860336.54106667,13878796.227657087,0.087524,0.0360809,23860287.527626667,13878776.022353087,23860385.55450667,13878816.432961088,850.1729600000001,151.312616,948.19984,191.72322400000002
"28.84,76.89",0,fcbk,28.83594086415578,76.88728909950255,haryana,23943630.760426667,13968289.209652739,0.110856,0.050251,23943568.681066666,13968261.06909274,23943692.839786667,13968317.350212738,245.24639999999997,963.7594399999999,369.40511999999995,1020.04056
"29.32,75.91",0,zigzag,29.325062754866867,75.9111053670883,haryana,23852643.841902222,13916123.374692852,0.0444475,0.0335237,23852618.951302223,13916104.601420851,23852668.732502222,13916142.147964852,638.13708,5.600000000161032e-05,687.91828,37.5466
"28.58,76.80",0,zigzag,28.58510649621652,76.79711166687017,haryana,23935225.61450667,13994945.929002298,0.0688667,0.0313688,23935187.04915467,13994928.362474298,23935264.17985867,13994963.495530298,252.22248799999997,0.4173119999999969,329.353192,35.550368000000006
"28.58,76.80",1,zigzag,28.582687113466942,76.80230517024994,haryana,23935709.684106667,13995202.731562298,0.0901215,0.0374374,23935659.216066666,13995181.766618298,23935760.152146667,13995223.696506297,724.3894,253.821456,825.32548,295.751344
"28.58,76.80",2,zigzag,28.584942860844453,76.79534458637238,haryana,23935060.910666667,13994963.298074298,0.0710255,0.0307772,23935021.136386666,13994946.062842298,23935100.684946667,13994980.533306297,86.30972,18.117679999999996,165.85827999999998,52.588144
"30.31,76.89",0,zigzag,30.305334757883454,76.89533614883422,haryana,23944380.79978667,13810814.151742032,0.0399641,0.0838906,23944358.41989067,13810767.173006032,23944403.17968267,13810861.130478032,1034.985224,1016.690864,1079.745016,1110.648336
"28.71,76.19",0,zigzag,28.71371785464742,76.19199998035431,haryana,23878825.11745778,13981286.102562854,0.0837256,0.0379076,23878778.231121782,13981264.874306854,23878872.00379378,13981307.330818854,699.525344,143.662624,793.298016,186.119136
"28.71,76.19",1,zigzag,28.704965041719344,76.19210017223361,haryana,23878834.45601778,13982216.271522854,0.0875711,0.0400253,23878785.41620178,13982193.857354853,23878883.49583378,13982238.685690854,706.710424,1072.645672,804.7900559999999,1117.474008
"30.31,76.83",0,zigzag,30.3147015474352,76.82675213928222,haryana,23937988.306773335,13809802.868686032,0.0364034,0.0629807,23937967.920869336,13809767.59949403,23938008.692677334,13809838.137878032,236.89153599999997,17.117352,277.663344,87.655736
"29.49,77.00",0,zigzag,29.494823693801475,77.00338213081359,haryana,23954451.41521778,13897959.723880988,0.0447656,0.0776201,23954426.346481778,13897916.256624987,23954476.48395378,13898003.191136988,850.1687039999999,5.600000000161032e-05,900.306176,86.934568
