parent,line_id,class,lat,lon,state,x_c,y_c,w,h,top_left_x,top_left_y,bottom_right_x,bottom_right_y,local_top_left_x,local_top_left_y,local_bottom_right_x,local_bottom_right_y
"30.79,75.87",0,zigzag,30.788065114183468,75.87135802173616,punjab,23848939.120800003,13758569.420934342,0.115034,0.045408,23848874.701760005,13758543.992454343,23849003.53984,13758594.849414341,622.1577599999999,744.5043200000001,750.99584,795.36128
"30.79,75.87",1,zigzag,30.78765117940989,75.87581765384677,punjab,23849354.788640004,13758614.331814341,0.0316602,0.100504,23849337.058928005,13758558.049574342,23849372.518352002,13758670.61405434,1084.514928,758.5614400000001,1119.974352,871.1259200000001
"31.25,75.43",0,fcbk,31.245299755331487,75.42873374671937,punjab,23807683.548195556,13708841.659225648,0.0763111,0.0402494,23807640.813979555,13708819.119561648,23807726.282411557,13708864.198889649,399.24242399999997,1049.8916960000001,484.7108559999999,1094.971024
"31.11,75.50",0,zigzag,31.106355245510336,75.50579855995183,punjab,23814866.509404447,13723978.211122176,0.0348846,0.0817053,23814846.974028446,13723932.456154175,23814886.044780448,13724023.966090176,1080.929584,911.019592,1120.000336,1002.529528
"30.70,75.33",0,zigzag,30.69734284198712,75.33490743141175,punjab,23798938.301760003,13768407.943834092,0.0376248,0.0837074,23798917.231872004,13768361.067690093,23798959.371648002,13768454.819978092,996.3358720000001,801.152016,1038.475648,894.9043039999999
"31.02,74.92",0,zigzag,31.020637123708287,74.92018281593322,punjab,23760283.165902223,13733305.255970502,0.0385168,0.0829568,23760261.596494224,13733258.800162502,23760304.735310223,13733351.711778503,555.4702719999999,444.249792,598.6090879999999,537.161408
"31.02,74.92",1,zigzag,31.016316667986498,74.92366390094756,punjab,23760607.62654222,13733775.145250501,0.0387347,0.0842571,23760585.935110223,13733727.961274501,23760629.31797422,13733822.329226501,879.808888,913.410904,923.1917520000001,1007.7788560000001
"30.43,76.21",0,zigzag,30.425071038045253,76.213750802803,punjab,23880852.441048887,13797879.5619082,0.0722852,0.0485818,23880811.96133689,13797852.3561002,23880892.920760885,13797906.767716201,869.1204479999999,1065.588272,950.079872,1119.999888
"31.46,75.14",0,fcbk,31.46354273859341,75.14476493015287,punjab,23781215.736124445,13685021.312888099,0.0350987,0.0751289,23781196.080852445,13684979.240704099,23781235.391396444,13685063.385072099,984.468408,130.809896,1023.778952,214.954264
"31.46,75.14",1,zigzag,31.463916580658005,75.1456345855713,punjab,23781296.793884445,13684980.462008098,0.0621759,0.0340315,23781261.975380447,13684961.404368099,23781331.612388443,13684999.519648097,1050.362936,112.97356,1119.999944,151.08884
