parent,line_id,class,lat,lon,state,x_c,y_c,w,h,top_left_x,top_left_y,bottom_right_x,bottom_right_y,local_top_left_x,local_top_left_y,local_bottom_right_x,local_bottom_right_y
"27.72,80.91",0,fcbk,27.71603717674486,80.90531702098843,uttar_pradesh,24318138.10672,14086817.724279637,0.0744472,0.0603585,24318096.416288,14086783.923519637,24318179.797152,14086851.525039636,81.824288,943.44068,165.20515200000003,1011.0422
"27.72,80.91",1,fcbk,27.719278210282425,80.90830677165984,uttar_pradesh,24318416.77168,14086476.480439637,0.0673728,0.0572505,24318379.042912003,14086444.420159636,24318454.500448,14086508.540719638,364.45091199999996,603.93732,439.908448,668.0578800000001
"26.13,82.79",0,zigzag,26.131489365699505,82.79302969284058,uttar_pradesh,24494085.680284444,14252470.562948152,0.0485857,0.0713151,24494058.472292446,14252430.626492152,24494112.888276443,14252510.499404153,815.179848,365.440824,869.5958320000001,445.31373599999995
"25.77,81.85",0,fcbk,25.773598806531293,81.84866895484924,uttar_pradesh,24406064.879822224,14289569.650552265,0.0272216,0.0728642,24406049.635726225,14289528.846600266,24406080.123918224,14289610.454504265,420.6935040000001,146.713168,451.181696,228.321072
"25.96,81.65",0,fcbk,25.955312785771888,81.64665642948151,uttar_pradesh,24387235.947751112,14270747.197893968,0.0659111,0.0436907,24387199.037535112,14270722.731101967,24387272.857967112,14270771.664685968,211.446424,1021.4317679999999,285.26685599999996,1070.365352
"29.63,78.17",0,zigzag,29.626811362727732,78.17399774971005,uttar_pradesh,24063560.699057776,13883816.602469811,0.0560444,0.0817871,24063529.314193778,13883770.801693812,24063592.083921775,13883862.40324581,901.2324160000001,856.106104,964.002144,947.7076560000002
"29.63,78.17",1,zigzag,29.625563085808313,78.17124307384488,uttar_pradesh,24063303.944657777,13883950.44806981,0.073225,0.0677861,24063262.938657776,13883912.48785381,24063344.950657777,13883988.408285812,634.8568799999999,997.792264,716.8688800000001,1073.712696
"26.02,84.12",0,zigzag,26.01647539172456,84.12576484222411,uttar_pradesh,24618305.599573333,14264405.27316944,0.0400386,0.0373073,24618283.177957334,14264384.38108144,24618328.021189332,14264426.165257439,1074.9006239999999,904.673672,1119.7438559999998,946.4578479999999
"27.09,80.18",0,zigzag,27.086712579781704,80.17505549470899,uttar_pradesh,24250072.799148444,14152888.31488526,0.0750868,0.0569665,24250030.750540443,14152856.41364526,24250114.847756445,14152920.216125261,57.09009600000001,872.2613200000001,141.18731200000002,936.0638
"27.96,80.75",0,zigzag,27.956199985917095,80.74848231773382,uttar_pradesh,24303520.052871116,14061503.740282215,0.0643207,0.0632686,24303484.033279117,14061468.309866216,24303556.072463114,14061539.170698214,382.52216799999997,925.555344,454.561352,996.416176
"25.41,82.23",0,fcbk,25.41058137394545,82.23162998657227,uttar_pradesh,24441759.435093336,14327086.064182717,0.0840652,0.0461867,24441712.358581334,14327060.199630717,24441806.511605337,14327111.928734718,664.849248,474.14376799999997,759.002272,525.872872
"28.90,77.27",0,zigzag,28.895719504060235,77.2686966283798,uttar_pradesh,23979180.518737778,13961926.940728888,0.0904954,0.0702896,23979129.84131378,13961887.578552889,23979231.196161777,13961966.302904887,387.839536,976.3535039999999,489.194384,1055.0778559999999
"26.25,80.97",0,fcbk,26.2518196217351,80.97246242752077,uttar_pradesh,24324396.512213334,14239971.607762886,0.0693231,0.0723746,24324357.691277333,14239931.077986887,24324435.333149336,14240012.137538886,750.693944,330.366064,828.335816,411.42561599999993
"27.99,78.49",0,zigzag,27.99180550914752,78.49119140377046,uttar_pradesh,24093125.290435556,14057746.014124034,0.0908587,0.0815938,24093074.409563556,14057700.321596034,24093176.171307556,14057791.706652034,620.166008,323.728272,721.927752,415.113328
